Date,Home Team,Away Team,Result,Stage,Scoresheet_Home,Scorer_Home,Scoresheet_Away,Scorer_Away
"Nov 28, 2018",FC Porto,FC Schalke 04,3:1,Group D,"[""52'"", ""55'"", ""90+4'""]","['Éder Militão', 'Jesús Corona', 'Moussa Marega']","[""89'""]",['Nabil Bentaleb']
"Dec 11, 2018",FC Schalke 04,Loko Moscow,1:0,Group D,"[""90+1'""]",['Alessandro Schöpf'],[],[]
"Dec 11, 2018",Galatasaray,FC Porto,2:3,Group D,"[""45+1'"", ""65'""]","['Sofiane Feghouli', 'Eren Derdiyok']","[""17'"", ""42'"", ""57'""]","['Felipe', 'Moussa Marega', 'Sérgio Oliveira']"
"Sep 19, 2018",Ajax,AEK Athens,3:0,Group E,"[""46'"", ""77'"", ""90+1'""]","['Nicolás Tagliafico', 'Donny van de Beek', 'Nicolás Tagliafico']",[],[]
"Sep 19, 2018",Benfica,Bayern Munich,0:2,Group E,[],[],"[""10'"", ""54'""]","['Robert Lewandowski', 'Renato Sanches']"
"Oct 2, 2018",Bayern Munich,Ajax,1:1,Group E,"[""4'""]",['Mats Hummels'],"[""22'""]",['Noussair Mazraoui']
"Oct 2, 2018",AEK Athens,Benfica,2:3,Group E,"[""53'"", ""63'""]","['Viktor Klonaridis', 'Viktor Klonaridis']","[""6'"", ""15'"", ""74'""]","['Haris Seferovic', 'Alejandro Grimaldo', 'Alfa Semedo']"
"Oct 23, 2018",AEK Athens,Bayern Munich,0:2,Group E,[],[],"[""61'"", ""63'""]","['Javi Martínez', 'Robert Lewandowski']"
"Oct 23, 2018",Ajax,Benfica,1:0,Group E,"[""90+2'""]",['Noussair Mazraoui'],[],[]
"Nov 7, 2018",Bayern Munich,AEK Athens,2:0,Group E,"[""31'"", ""71'""]","['Robert Lewandowski', 'Robert Lewandowski']",[],[]
"Nov 7, 2018",Benfica,Ajax,1:1,Group E,"[""29'""]",['Jonas'],"[""61'""]",['Dusan Tadic']
"Nov 27, 2018",AEK Athens,Ajax,0:2,Group E,[],[],"[""68'"", ""72'""]","['Dusan Tadic', 'Dusan Tadic']"
"Nov 27, 2018",Bayern Munich,Benfica,5:1,Group E,"[""13'"", ""30'"", ""36'"", ""51'"", ""76'""]","['Arjen Robben', 'Arjen Robben', 'Robert Lewandowski', 'Robert Lewandowski', 'Franck Ribéry']","[""46'""]",['Gedson Fernandes']
"Dec 12, 2018",Benfica,AEK Athens,1:0,Group E,"[""88'""]",['Alejandro Grimaldo'],[],[]
"Dec 12, 2018",Ajax,Bayern Munich,3:3,Group E,"[""61'"", ""82'"", ""90+5'""]","['Dusan Tadic', 'Dusan Tadic', 'Nicolás Tagliafico']","[""13'"", ""87'"", ""90'""]","['Robert Lewandowski', 'Robert Lewandowski', 'Kingsley Coman']"
"Sep 19, 2018",Shakhtar D.,TSG Hoffenheim,2:2,Group F,"[""27'"", ""81'""]","['Ismaily', 'Maycon']","[""6'"", ""38'""]","['Florian Grillitsch', 'Håvard Nordtveit']"
"Sep 19, 2018",Man City,Olympique Lyon,1:2,Group F,"[""67'""]",['Bernardo Silva'],"[""26'"", ""43'""]","['Maxwel Cornet', 'Nabil Fekir']"
"Oct 2, 2018",TSG Hoffenheim,Man City,1:2,Group F,"[""1'""]",['Ishak Belfodil'],"[""8'"", ""87'""]","['Sergio Agüero', 'David Silva']"
"Oct 2, 2018",Olympique Lyon,Shakhtar D.,2:2,Group F,"[""70'"", ""72'""]","['Moussa Dembélé', 'Léo Dubois']","[""44'"", ""55'""]","['Júnior Moraes', 'Júnior Moraes']"
"Oct 23, 2018",Shakhtar D.,Man City,0:3,Group F,[],[],"[""30'"", ""35'"", ""70'""]","['David Silva', 'Aymeric Laporte', 'Bernardo Silva']"
"Oct 23, 2018",TSG Hoffenheim,Olympique Lyon,3:3,Group F,"[""33'"", ""47'"", ""90+2'""]","['Andrej Kramaric', 'Andrej Kramaric', 'Joelinton']","[""27'"", ""59'"", ""67'""]","['Bertrand Traoré', 'Tanguy Ndombélé', 'Memphis Depay']"
"Nov 7, 2018",Man City,Shakhtar D.,6:0,Group F,"[""13'"", ""24'"", ""48'"", ""72'"", ""84'"", ""90+2'""]","['David Silva', 'Gabriel Jesus', 'Raheem Sterling', 'Gabriel Jesus', 'Riyad Mahrez', 'Gabriel Jesus']",[],[]
"Nov 7, 2018",Olympique Lyon,TSG Hoffenheim,2:2,Group F,"[""19'"", ""28'""]","['Nabil Fekir', 'Tanguy Ndombélé']","[""65'"", ""90+2'""]","['Andrej Kramaric', 'Pavel Kaderabek']"
"Nov 27, 2018",Olympique Lyon,Man City,2:2,Group F,"[""55'"", ""81'""]","['Maxwel Cornet', 'Maxwel Cornet']","[""62'"", ""83'""]","['Aymeric Laporte', 'Sergio Agüero']"
"Nov 27, 2018",TSG Hoffenheim,Shakhtar D.,2:3,Group F,"[""17'"", ""40'""]","['Andrej Kramaric', 'Steven Zuber']","[""14'"", ""15'"", ""90+2'""]","['Ismaily', 'Taison', 'Taison']"
"Dec 12, 2018",Shakhtar D.,Olympique Lyon,1:1,Group F,"[""22'""]",['Júnior Moraes'],"[""65'""]",['Nabil Fekir']
"Dec 12, 2018",Man City,TSG Hoffenheim,2:1,Group F,"[""45+1'"", ""61'""]","['Leroy Sané', 'Leroy Sané']","[""16'""]",['Andrej Kramaric']
"Sep 19, 2018",Real Madrid,AS Roma,3:0,Group G,"[""45'"", ""58'"", ""90+1'""]","['Isco', 'Gareth Bale', 'Mariano Díaz']",[],[]
"Sep 19, 2018",Viktoria Plzen,CSKA Moscow,2:2,Group G,"[""29'"", ""41'""]","['Michael Krmencik', 'Michael Krmencik']","[""49'"", ""90+5'""]","['Fedor Chalov', 'Nikola Vlašić']"
